timestamp,nf_type,nf_id,registration_attempts,registration_successes,pdu_session_attempts,pdu_session_successes,session_releases,n3_dl_packets,n3_ul_packets,n3_dl_drop,n3_ul_drop,cpu_percent,memory_percent
2026-03-24T08:00:00Z,AMF,amf-01,5162.0,5129.0,,,,,,,,58.11,60.1
2026-03-24T08:15:00Z,AMF,amf-01,5756.0,5689.0,,,,,,,,59.88,69.78
2026-03-24T08:30:00Z,AMF,amf-01,4236.0,4180.0,,,,,,,,59.4,69.51
2026-03-24T08:00:00Z,AMF,amf-02,4686.0,4632.0,,,,,,,,79.92,61.67
2026-03-24T08:15:00Z,AMF,amf-02,4848.0,4806.0,,,,,,,,84.51,63.31
2026-03-24T08:30:00Z,AMF,amf-02,5648.0,5523.0,,,,,,,,75.5,60.9
2026-03-24T08:00:00Z,SMF,smf-01,,,7293.0,7193.0,361.0,,,,,44.21,50.94
2026-03-24T08:15:00Z,SMF,smf-01,,,6439.0,6363.0,337.0,,,,,48.82,44.21
2026-03-24T08:30:00Z,SMF,smf-01,,,6805.0,6559.0,321.0,,,,,49.29,43.44
2026-03-24T08:00:00Z,SMF,smf-02,,,6197.0,6027.0,117.0,,,,,58.06,39.17
2026-03-24T08:15:00Z,SMF,smf-02,,,7652.0,7518.0,306.0,,,,,59.54,38.51
2026-03-24T08:30:00Z,SMF,smf-02,,,5605.0,5540.0,317.0,,,,,64.41,38.49
2026-03-24T08:00:00Z,UPF,upf-01,,,,,,11311771.0,7858818.0,673.0,173.0,45.46,43.17
2026-03-24T08:15:00Z,UPF,upf-01,,,,,,9416163.0,6858131.0,384.0,475.0,48.78,41.01
2026-03-24T08:30:00Z,UPF,upf-01,,,,,,9739341.0,6569220.0,921.0,140.0,46.38,41.96
2026-03-24T08:00:00Z,UPF,upf-02,,,,,,16202210.0,12650235.0,442.0,296.0,51.03,57.6
2026-03-24T08:15:00Z,UPF,upf-02,,,,,,10974297.0,7664650.0,608.0,303.0,52.56,55.73
2026-03-24T08:30:00Z,UPF,upf-02,,,,,,11490724.0,7570669.0,513.0,127.0,50.0,66.77
2026-03-24T08:30:00Z,AMF,amf-01,4047.0,3960.0,,,,,,,,62.19,47.09
2026-03-24T08:45:00Z,AMF,amf-01,6350.0,6187.0,,,,,,,,71.67,44.21
2026-03-24T09:00:00Z,AMF,amf-01,4735.0,4647.0,,,,,,,,67.5,41.6
2026-03-24T08:30:00Z,AMF,amf-02,5482.0,5327.0,,,,,,,,76.04,79.17
2026-03-24T08:45:00Z,AMF,amf-02,4826.0,4717.0,,,,,,,,84.46,78.3
2026-03-24T09:00:00Z,AMF,amf-02,5596.0,5468.0,,,,,,,,77.5,67.99
2026-03-24T08:30:00Z,SMF,smf-01,,,5310.0,5100.0,375.0,,,,,55.43,46.37
2026-03-24T08:45:00Z,SMF,smf-01,,,6450.0,6264.0,348.0,,,,,49.15,44.09
2026-03-24T09:00:00Z,SMF,smf-01,,,6499.0,6260.0,280.0,,,,,49.24,43.61
2026-03-24T08:30:00Z,SMF,smf-02,,,5792.0,5748.0,264.0,,,,,49.32,71.98
